instance_id,class_id,size,distribution,capacity_level,seed,method,status,feasible,objective_value,runtime_seconds,open_sites,iterations,initial_objective,error,variant,runs_used,runtime_total_seconds,instance_seed,algorithm_seed,time_to_best_seconds,starts_attempted,starts_completed,successful_starts,failed_starts,starts_without_improvement,max_starts_without_improvement,repair_attempts,repair_successes,one_swap_moves,two_swap_moves,cache_hits,cache_misses,vnd_iterations,stagnation_stops,deadline_stops,stop_reason,objective_upper_bound,upper_bound_reached,optimality_certified_by_upper_bound,feasible_runs,known_optimum,optimum,gap_percent,optimal
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201.0,greedy,success,True,5.702523276294308,0.0072512999904574,s12;s20;s27;s5;s7,,,,Greedy,1,0.0072512999904574,,,,,,,,,,,,,,,,,,,,,,,,True,6.58375468098065,13.384936823847198,False
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202.0,greedy,success,True,6.894048438683631,0.0068865999928675,s14;s26;s27;s28;s7,,,,Greedy,1,0.0068865999928675,,,,,,,,,,,,,,,,,,,,,,,,True,8.126604896905532,15.166929780125475,False
medium_uniform_tight_003,medium_uniform_tight,medium,uniform,tight,202607203.0,greedy,success,True,6.25625747124788,0.0073830999899655,s15;s16;s2;s23;s25,,,,Greedy,1,0.0073830999899655,,,,,,,,,,,,,,,,,,,,,,,,True,6.256257471247878,0.0,True
medium_uniform_tight_004,medium_uniform_tight,medium,uniform,tight,202607204.0,greedy,success,True,9.15730603399085,0.0072665999905439,s1;s14;s2;s23;s30,,,,Greedy,1,0.0072665999905439,,,,,,,,,,,,,,,,,,,,,,,,True,9.15730603399085,0.0,True
medium_uniform_tight_005,medium_uniform_tight,medium,uniform,tight,202607205.0,greedy,success,True,6.677530414521945,0.0068024000065634,s12;s19;s2;s22;s5,,,,Greedy,1,0.0068024000065634,,,,,,,,,,,,,,,,,,,,,,,,True,6.677530414521941,0.0,True
medium_uniform_medium_001,medium_uniform_medium,medium,uniform,medium,202617201.0,greedy,success,True,8.686722906985716,0.0068448999954853,s10;s18;s20;s22;s24,,,,Greedy,1,0.0068448999954853,,,,,,,,,,,,,,,,,,,,,,,,True,8.686722906985722,0.0,True
medium_uniform_medium_002,medium_uniform_medium,medium,uniform,medium,202617202.0,greedy,success,True,7.7566277412589315,0.0069111999910091,s10;s19;s27;s28;s4,,,,Greedy,1,0.0069111999910091,,,,,,,,,,,,,,,,,,,,,,,,True,7.756627741258928,0.0,True
medium_uniform_medium_003,medium_uniform_medium,medium,uniform,medium,202617203.0,greedy,success,True,11.15174753772428,0.0074449000094318,s1;s18;s20;s25;s7,,,,Greedy,1,0.0074449000094318,,,,,,,,,,,,,,,,,,,,,,,,True,11.1517475377243,0.0,True
medium_uniform_medium_004,medium_uniform_medium,medium,uniform,medium,202617204.0,greedy,success,True,9.0624713010816,0.0068204999988665,s16;s17;s18;s28;s30,,,,Greedy,1,0.0068204999988665,,,,,,,,,,,,,,,,,,,,,,,,True,9.0624713010816,0.0,True
medium_uniform_medium_005,medium_uniform_medium,medium,uniform,medium,202617205.0,greedy,success,True,7.084643900476448,0.0070626999950036,s10;s13;s17;s2;s20,,,,Greedy,1,0.0070626999950036,,,,,,,,,,,,,,,,,,,,,,,,True,7.084643900476449,0.0,True
